D00217,CC(=O)Nc1ccc(O)cc1
D00216,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]4C=C(CO)[C@@H](O)[C@H](O)[C@H]4O
D00198,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)\C=C\c6cc(OC)c(OC)c(OC)c6
D00196,CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1
D00219,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2
D00218,CC(=O)Nc1nnc(s1)S(=O)(=O)N
D04025,FC(F)(F)c1ccc(\C=C\c2occ(COc3ccc(CCCCn4ccnn4)cc3)n2)cc1
D00359,CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
D01180,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=C(C[C@]35C)C#N)O)[C@@H]1CC[C@@H]2O
D01228,[Br-].[Br-].CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc2ccc[n+](C)c2
D01183,Cc1c(Cl)cccc1Nc2ccccc2C(=O)O
D03252,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
D02655,Cl.CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C
D01223,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]2O[C@H](C)[C@@H](O)[C@H]2O
D00994,[Cl-].CC[N+](C)(C)c1cccc(O)c1
D00995,[Br-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
D01918,O.O.O.O.[Na+].CC(C)(C)C(=O)Oc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)[O-]
D01915,[Ca+2].CC(C)c1nc(nc(c1\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c2ccc(F)cc2)N(C)S(=O)(=O)C.CC(C)c3nc(nc(c3\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c4ccc(F)cc4)N(C)S(=O)(=O)C
D00584,FC1=CNC(=O)NC1=O
D00998,COS(=O)(=O)[O-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
D01911,Cl.CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)c5c(O)c6C(=O)c7c(O)cccc7C(=O)c6cc5[C@H]1C(=O)OC
D02375,CN(C\C=C\C#CC(C)(C)C)Cc1cccc2ccccc12
D00667,[Br-].[Br-].CN(CCCCCCCCCCN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C)C(=O)Oc2cccc(c2)[N+](C)(C)C
D00103,O[C@H]([C@@H](O)C(=O)O)C(=O)O
D00452,CC(C(=O)O)c1ccc(cc1)C(=O)c2cccs2
D00455,COc1ccc2[nH]c(nc2c1)[S+]([O-])Cc3ncc(C)c(OC)c3C
D00454,CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24
D00459,Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3ccccc3C[C@H]2C(=O)O
D00109,CC(=O)Oc1ccccc1C(=O)O
D00518,NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(=O)(=O)N
D00519,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
D00691,CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O
D01825,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=CC5(C)[C@@]4(F)C(O)CC3(C)C2(O1)C(=O)CO
D00510,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
D02579,CC(C)NNC(=O)c1ccncc1
D00512,OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3
D01828,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O
D00515,[O-][N+](=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
D00516,[O-][N+](=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+](=O)[O-]
D00487,[Br-].CN(C)C(=O)Oc1ccc[n+](C)c1
D00222,Nc1nc(O)c2ncn(COCCO)c2n1
D00771,Clc1ccc2OC(=O)Nc2c1
D00070,NC1=NC(=O)c2nc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cnc2N1
D01704,COc1ccc(cc1OC2CCCC2)[C@@]3(CC[C@@H](CC3)C(=O)O)C#N
D01071,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
D03670,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
D03077,OC(=O)CN1C(=O)[C@H](CCc2ccccc12)N[C@@H](CCc3ccccc3)C(=O)O
D03758,NCCCC[C@H](N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O
D03756,Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@H]3C[C@H]2C(=O)O
D03753,CCC[C@H](N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O)C(=O)OCC
D03752,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3ccccc3C[C@H]2C(=O)O
D03751,OC(=O)\C=C/C(=O)O.O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
D02581,COCC1CN(C(=O)O1)c2ccc(OCc3cccc(c3)C#N)cc2
D02580,Cc1onc(c1)C(=O)NNCc2ccccc2
D00317,CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(=O)C
D00315,CCc1cccc2c3CCOC(CC)(CC(=O)O)c3[nH]c12
D00252,NC(=O)N1c2ccccc2C=Cc3ccccc13
D00251,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
D03829,O.O.O.CCC(CC)[C@H](NC(=O)C)[C@@H]1[C@H](O)[C@H](C[C@H]1NC(=N)N)C(=O)O
D03828,[Na+].[Na+].NC1=Nc2[nH]cc(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])c2C(=O)N1
D03350,Cl.Cl.Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl
D03823,CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)N4CCc5ccccc5C4)cc23
D03822,CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C
D03826,CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1.CNC(=O)Oc4ccc5N(C)[C@H]6N(C)CC[C@@]6(C)c5c4.OS(=O)(=O)O
D03218,CNC(=O)c1ccccc1Sc2ccc3c(\C=C\c4ccccn4)n[nH]c3c2
D04031,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(cccc5nc34)[N+](=O)[O-])C2=O
D03217,COc1ccc(CNc2nc(ncc2C(=O)NCc3ncccn3)N4CCC[C@H]4CO)cc1Cl
D02756,CC[C@@]1(O)C[C@H](OC2CC(C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)N(C)C)c5c(O)c6C(=O)c7c(O)cccc7C(=O)c6cc5[C@H]1C(=O)OC
D01811,NC(=O)c1ccccc1O
D00656,CN1C(CCl)Nc2cc(Cl)c(cc2S1(=O)=O)S(=O)(=O)N
D00655,CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N
D00654,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1C(F)(F)F
D00653,Cl.CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N
D00652,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(=O)(=O)N
D00651,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc3ccccc3)NS2(=O)=O
D00650,NS(=O)(=O)c1cc2c(NC(Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F
D00227,CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN
D00224,O=C1NC=Nc2[nH]ncc12
D00225,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12
D00550,Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12
D00658,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl
