D06172,CC(N)C(=O)Nc1c(C)cccc1C
D00593,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@@H]3CC[C@@H](C)CC3)C1=O
D00594,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N3CCCCC3)ccc1C(=O)O
D00546,FC(F)OC(F)C(F)(F)F
D00195,O.COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C
D00219,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2
D01108,O.O.O.O.O.O.O.[Mg+2].[O-]S(=O)(=O)[O-]
D02914,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C.OC(=O)\C=C/C(=O)O
D02098,Cl.CCCOc1ccc(cc1N)C(=O)OCCN(CC)CC
D00110,COC(=O)[C@H]1[C@H](CC2CCC1N2C)OC(=O)c3ccccc3
D00358,CCN(CC)CC(=O)Nc1c(C)cccc1C
D02092,O.COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC
D00354,Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl
D00607,NC(=N)NCC1COC2(CCCCC2)O1.NC(=N)NCC3COC4(CCCCC4)O3.OS(=O)(=O)O
D00351,CC(=O)N1CCN(CC1)c2ccc(OCC3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
D00759,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]4(C)CCc5cc(OC)c(OC)cc5[C@H]4Cc6ccc(OC)c(OC)c6)cc1OC.[O-]S(=O)(=O)c7ccccc7.[O-]S(=O)(=O)c8ccccc8
D00528,CN1C(=O)N(C)c2ncn(C)c2C1=O
D00964,N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3
D00524,[Cl-].C[N+](C)(C)CCOC(=O)N
D00831,Cl.O[C@H]([C@H]1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F
D00294,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
D00521,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
D03991,Cl.COc1ccc(cc1)C(=O)Nc2ccccc2CCC3CCCCN3C
D01854,O.O.[Ca+2].[O-]C(=O)[C@H](CC(=O)N1C[C@H]2CCCC[C@H]2C1)Cc3ccccc3.[O-]C(=O)[C@H](CC(=O)N4C[C@H]5CCCC[C@H]5C4)Cc6ccccc6
